base 3-3
base-devel 1-2
bear 4.1.5-1
biber 1:2.21-3
btop 1.4.7-1
ccache 4.13.6-1
clang 22.1.8-1
cmake 4.4.0-1
ctags 1:6.2.1-1
fd 10.4.2-2
gcc-fortran 16.1.1+r346+g4e03491b401d-4
git 2.55.0-1
libglvnd 1.7.0-3
lld 22.1.8-1
lldb 22.1.8-1
llvm 22.1.8-1
man-db 2.13.1-1
man-pages 6.18-1
mesa 1:26.1.4-1
ninja 1.13.2-3
openssh 10.4p1-2
ripgrep 15.2.0-1
sudo 1.9.17.p2-6
texlive-basic 2026.1-1
texlive-bibtexextra 2026.1-1
texlive-binextra 2026.1-1
texlive-context 2026.1-1
texlive-fontsextra 2026.1-1
texlive-fontsrecommended 2026.1-1
texlive-fontutils 2026.1-1
texlive-formatsextra 2026.1-1
texlive-games 2026.1-1
texlive-humanities 2026.1-1
texlive-latex 2026.1-1
texlive-latexextra 2026.1-1
texlive-latexrecommended 2026.1-1
texlive-luatex 2026.1-1
texlive-mathscience 2026.1-1
texlive-metapost 2026.1-1
texlive-music 2026.1-1
texlive-pictures 2026.1-1
texlive-plaingeneric 2026.1-1
texlive-pstricks 2026.1-1
texlive-publishers 2026.1-1
texlive-xetex 2026.1-1
tmux 3.7_b-1
tree 2.3.2-1
unzip 6.0-23
vim 9.2.0735-1
wget 1.25.0-6
zathura 2026.07.08-1
zathura-pdf-mupdf 2026.05.10-5
zsh 5.9.2-1
